id;RK_L1_CODE;RK_L1_NAME;RK_L2_CODE;RK_L2_NAME;RK_L3_CODE;RK_L3_NAME;S_PLAN;S_FIN;S_FACT
1;38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);30602;"Орган самоорганізації населення ""Комітет мікрорайону ""Контакт""";0;201748.58;201748.58
2;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);99275;"ГО ""Об""їднання нечуючих педагогів""";0;8670.12;8670.12
3;77607;Святошинська районна в місті Київі державна адміністрація;77870;Управління праці та соціального захисту населення Святошинської районної в місті Київі державної адміністрації;63772;"Центр у справах сім'ї та жінок ""Родинний дім"" Святошинського району м.Київа";0;689503.23;688803.23
4;49702;Департамент житлово-комунальної інфраструктури виконавчого органу Київської міської ради (Київської міської державної адміністрації);49702;Департамент житлово-комунальної інфраструктури виконавчого органу Київської міської ради (Київської міської державної адміністрації);54400;"Комунальне підприїмcтво ""Водно-інформаційний центр""";0;7159987;6819600.82
5;77926;Подільська районна в місті Київі державна адміністрація;78091;Відділ у справах сім'ї, молоді та спорту Подільської районної в м. Київі державної адміністрації;39958;Подільський районний в місті Київі центр соціальних служб для сім'ї, дітей та молоді;0;1382168;1427330.71
6;77766;Деснянська районна в місті Київі державна адміністрація;77927;Управління освіти Деснянської районної в місті Київі державної адміністрації;41744;Спеціалізована школа І-ІІІ ступенів № 207 з поглибленим вивченням англійської мови Деснянського району міста Київа;0;10316511.31;10365744.29
7;77651;Дніпровська районна в місті Київі державна адміністрація;77897;Управління житлово-комунального господарства Дніпровської районної в місті Київі державної адміністрації;959;"ЖИТЛОВО-БУДІВЕЛЬНИЙ КООПЕРАТИВ ""Електромонтажник""";0;99848.37;99848.37
8;77607;Святошинська районна в місті Київі державна адміністрація;77607;Святошинська районна в місті Київі державна адміністрація;77607;Святошинська районна в місті Київі державна адміністрація;182443164;24407823.63;24403695.4
9;27372;Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації);27372;Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації);49963;"Комунальний заклад ""Театрально-видовищний заклад культури ""Київська мала опера""";0;818852;535916.49
10;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);54365;Київський міський Центр соціальної, професійної та трудової реабілітації інвалідів;54365;Київський міський Центр соціальної, професійної та трудової реабілітації інвалідів;0;3853583.05;3850661.94
11;77879;Оболонська районна в місті Київі державна адміністрація;77906;Управління праці та соціального захисту населення Оболонської районної в місті Київі державної адміністрації;98677;"Громадська організація ""КИїВСЬКА МІСЬКА СПІЛКА ВЕТЕРАНІВ АТО ""ПЕРУН""";0;24767.47;16897.36
12;28478;Департамент будівництва та житлового забезпечення виконавчого органу Київської міської ради (Київської міської державної адміністрації);28478;Департамент будівництва та житлового забезпечення виконавчого органу Київської міської ради (Київської міської державної адміністрації);54193;"Комунальне підприємство з експлуатації і ремонту житлового фонду ""Житло-сервіс""";0;3309426;3309384.34
13;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);95936;"Громадська організація ""Спілка ветеранів Куби""";0;45396.6;45396.6
14;77926;Подільська районна в місті Київі державна адміністрація;77985;Управління праці та соціального захисту населення Подільської районної в місті Київі державної адміністрації;45551;"Громадське об""їднання ""Фонд допомоги інвалідам Чорнобиля Подільського району м. Київа""";0;33344.73;36224.73
15;48310;Департамент охорони здоров'я виконавчого органу Київської міської ради (Київської міської державної адміністрації);59335;"Територіальне медичне об'їднання ""СТОМАТОЛОГІЯ"" у місті Київі";35297;Стоматологічна поліклініка Дніпровського району м.Київа;0;9445573.4;12349105.72
16;27372;Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації);48900;Музей гетьманства;48900;Музей гетьманства;0;1659630.82;1706731
17;29161;Департамент освіти і науки, молоді та спорту виконавчого органу Київської міської ради (Київської міської державної адміністрації);46242;"Державний навчальний заклад ""Київський центр професійно-технічної освіти""";46242;"Державний навчальний заклад ""Київський центр професійно-технічної освіти""";0;13224803;13381372.84
18;77879;Оболонська районна в місті Київі державна адміністрація;77881;Управління освіти Оболонської районної в місті Київі державної адміністрації;77881;Управління освіти Оболонської районної в місті Київі державної адміністрації;0;833456750.3;862293593
19;77766;Деснянська районна в місті Київі державна адміністрація;77927;Управління освіти Деснянської районної в місті Київі державної адміністрації;41823;Гімназія № 283 ІІ-ІІІ ступенів Деснянського району міста Київа;0;13301838.67;14640425.19
20;77680;Печерська районна в місті Київі державна адміністрація;90740;Управління освіти та інноваційного розвитку Печерської районної в місті Київі державної адміністрації;38386;Природничо-науковий ліцей № 145 Печерського району м. Київа;0;7286957.08;7630992.42
21;38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);49165;"Комунальне підприємство Київської міської ради ""Телекомпанія ""Київ""";0;35440300;35371261.31
22;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);77873;Управління праці та соціального захисту населення Дніпровської районної в місті Київі державної адміністрації;77873;Управління праці та соціального захисту населення Дніпровської районної в місті Київі державної адміністрації;0;36005244.38;36005198.7
23;38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);25048;"Орган самоорганізації населення у місті Київі ""Вуличний комітет ""Хуторець""";0;178042.09;178042.09
24;77651;Дніпровська районна в місті Київі державна адміністрація;77898;Управління охорони здоров'я Дніпровської районної в місті Київі державної адміністрації;35636;"Комунальне некомерційне підприємство ""Консультативно-діагностичний центр дитячий Дніпровського району м. Київа""";0;24915325.53;24902384.07
25;77900;Дарницька районна в місті Київі державна адміністрація;77967;Управління у справах сім'ї, молоді та спорту Дарницької районної в місті Київі державної адміністрації;77967;Управління у справах сім'ї, молоді та спорту Дарницької районної в місті Київі державної адміністрації;0;1568425.27;1530271.38
26;54084;Київська міська рада;54084;Київська міська рада;92967;"Громадська організація ""Київ самоврядний""";0;2249282.05;2199749.83
27;27372;Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації);22374;Літературно-меморіальний музей-квартира П.Г.Тичини в м.Київі;22374;Літературно-меморіальний музей-квартира П.Г.Тичини в м.Київі;0;1285258.5;1367902.97
28;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);99230;"Громадська організація ""Спілка ветеранів війни з Росіїю""";0;34795.2;34795.2
29;77766;Деснянська районна в місті Київі державна адміністрація;77927;Управління освіти Деснянської районної в місті Київі державної адміністрації;20269;Школа I-III ступенів № 238 Деснянського району міста Київа;0;10074783.84;10001293.34
30;38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);99657;"Орган самоорганізації населення ""Будинковий комітет ""Проспект Лісовий,10""";0;75511.79;75511.79
31;29161;Департамент освіти і науки, молоді та спорту виконавчого органу Київської міської ради (Київської міської державної адміністрації);8918;"Державний навчальний заклад ""Київський професійний коледж з посиленою військовою та фізичною підготовкою""";8918;"Державний навчальний заклад ""Київський професійний коледж з посиленою військовою та фізичною підготовкою""";0;30286776;36779983.65
32;77727;Солом'янська районна в місті Київі державна адміністрація;77916;Управління житлово-комунального господарства та будівництва Солом'янської районної в місті Київі державної адміністрації;48930;"Комунальне підприємство по утриманню зелених насаджень Солом""янського району м.Київа";0;27892760;28035002.52
33;29161;Департамент освіти і науки, молоді та спорту виконавчого органу Київської міської ради (Київської міської державної адміністрації);48659;Київський університет імені Бориса Грінченка;48659;Київський університет імені Бориса Грінченка;0;163729297;252848506.8
34;77879;Оболонська районна в місті Київі державна адміністрація;77906;Управління праці та соціального захисту населення Оболонської районної в місті Київі державної адміністрації;29955;Оболонська районна організація Товариства Червоного Хреста м.Київа;0;0;0
35;54084;Київська міська рада;54084;Київська міська рада;81425;"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""РЕСПУБЛІКА КИїВ""";0;723849.04;697960.65
36;54084;Київська міська рада;54084;Київська міська рада;93064;"Громадська організація ""ЇВРОПЕЙСЬКИЙ ЦЕНТР ГРОМАДСЬКИХ ІНІЦІАТИВ""";0;737286.08;565651.04
37;27372;Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації);22419;Державний архів м.Київа;22419;Державний архів м.Київа;0;5989010.09;6359576.43
38;77926;Подільська районна в місті Київі державна адміністрація;77987;Фінансове управління Подільської районної в м. Київі державної адміністрації;77987;Фінансове управління Подільської районної в м. Київі державної адміністрації;0;2829186.93;2821761.04
39;77651;Дніпровська районна в місті Київі державна адміністрація;77897;Управління житлово-комунального господарства Дніпровської районної в місті Київі державної адміністрації;99378;"Житлово-будівельний кооператив ""Печерський 1""";0;39894.78;39894.78
40;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);53549;Фонд ветеранів Великої Вітчизняної війни, партизанів та підпільників, військовослужбовців, звільнених у запас;0;0;0
41;77680;Печерська районна в місті Київі державна адміністрація;77739;Управління праці та соціального захисту населення Печерської районної в місті Київі державної адміністрації;38347;Територіальний центр соціального обслуговування (надання соціальних послуг) Печерського району міста Київа;0;12445277.31;12444335.32
42;77607;Святошинська районна в місті Київі державна адміністрація;77870;Управління праці та соціального захисту населення Святошинської районної в місті Київі державної адміністрації;38096;"Святошинський районний осередок Київського товариства політв""язнів та жертв репресій";0;3090;3090
43;25872;Служба у справах дітей та сім'ї виконавчого органу Київської міської ради (Київської міської державної адміністрації);53756;Київський міський правобережний центр для ВІЛ-інфікованих дітей та молоді;53756;Київський міський правобережний центр для ВІЛ-інфікованих дітей та молоді;0;3071300.88;3048317.79
44;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);86218;"Громадська організація ""Київська міська спілка інвалідів постраждалих від мін""";0;109620.19;109620.19
45;48310;Департамент охорони здоров'я виконавчого органу Київської міської ради (Київської міської державної адміністрації);48310;Департамент охорони здоров'я виконавчого органу Київської міської ради (Київської міської державної адміністрації);92955;"Комунальне некомерційне підприємство ""Центр спортивної медицини міста Київа""";0;15973546;15129151.6
46;77879;Оболонська районна в місті Київі державна адміністрація;77906;Управління праці та соціального захисту населення Оболонської районної в місті Київі державної адміністрації;30655;"Громадська організація ""Спілка ветеранів Афганістану Оболонського району м.Київа""";0;41285.98;41285.98
